master id,isin name,factsheet link,prospectus link
140883,IE0008368742,https://doc.morningstar.com/document/9dc1a6ebc491b4034f9e5e5b988f713b.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/660eec336a25b8e49ca1d73c6a7ba3d2.msdoc/?clientid=imassg&key=32545d22b2a6e612
138178,IE0032303764,https://doc.morningstar.com/document/eaa7b6edec28024ec68671de48ab8bcd.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/2cfbaaf193f1f60288a1da8479d900fc.msdoc/?clientid=imassg&key=32545d22b2a6e612
138095,IE00B0M2Y900,https://doc.morningstar.com/document/b75c2dd320129c27d2aadf5f0bf3d9f9.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/2cfbaaf193f1f60288a1da8479d900fc.msdoc/?clientid=imassg&key=32545d22b2a6e612
140887,IE00B11XYX59,https://doc.morningstar.com/document/f92cc233a091ca40bc5fbae8354375ba.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/2cfbaaf193f1f60288a1da8479d900fc.msdoc/?clientid=imassg&key=32545d22b2a6e612
138175,IE00B11XZ541,https://doc.morningstar.com/document/0e32b1e03b2220b729e12ad89d0363dc.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/2cfbaaf193f1f60288a1da8479d900fc.msdoc/?clientid=imassg&key=32545d22b2a6e612
138096,IE00B11XZ871,https://doc.morningstar.com/document/fdfe78222f803cc29c96f83c5b10e080.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/2cfbaaf193f1f60288a1da8479d900fc.msdoc/?clientid=imassg&key=32545d22b2a6e612
140888,IE00B11XZ988,https://doc.morningstar.com/document/b75c2dd320129c27d2aadf5f0bf3d9f9.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/2cfbaaf193f1f60288a1da8479d900fc.msdoc/?clientid=imassg&key=32545d22b2a6e612
140889,IE00B1LHWR71,https://doc.morningstar.com/document/7c289f00e09940b90c17257672213808.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/2cfbaaf193f1f60288a1da8479d900fc.msdoc/?clientid=imassg&key=32545d22b2a6e612
138021,IE00B7BTH691,https://doc.morningstar.com/document/350ef6232832c6c82059bc05133bee40.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/9bb122c2e8f5ca9f23a7fca2a338130e.msdoc/?clientid=imassg&key=32545d22b2a6e612
138023,IE00B7KFL990,https://doc.morningstar.com/document/7716520af3ac49db59a91a60a6b968cc.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/2cfbaaf193f1f60288a1da8479d900fc.msdoc/?clientid=imassg&key=32545d22b2a6e612
140890,IE00B84J9L26,https://doc.morningstar.com/document/248913aa33b425c8cc9aeae03a477926.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/2cfbaaf193f1f60288a1da8479d900fc.msdoc/?clientid=imassg&key=32545d22b2a6e612
138562,IE00B87L2R26,https://doc.morningstar.com/document/c163762adeafab57b2ef0b35c61770d2.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/9bb122c2e8f5ca9f23a7fca2a338130e.msdoc/?clientid=imassg&key=32545d22b2a6e612
138550,IE00B8K7V925,https://doc.morningstar.com/document/7716520af3ac49db59a91a60a6b968cc.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/2cfbaaf193f1f60288a1da8479d900fc.msdoc/?clientid=imassg&key=32545d22b2a6e612
138551,IE00B8N0MW85,https://doc.morningstar.com/document/248913aa33b425c8cc9aeae03a477926.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/2cfbaaf193f1f60288a1da8479d900fc.msdoc/?clientid=imassg&key=32545d22b2a6e612
140892,IE00B8W6D244,https://doc.morningstar.com/document/2a7c2509c5012909b96c8a52893e79b7.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/2cfbaaf193f1f60288a1da8479d900fc.msdoc/?clientid=imassg&key=32545d22b2a6e612
140893,IE00B92ZW543,https://doc.morningstar.com/document/b75a076eb34eb19177323c395e1950a8.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/2cfbaaf193f1f60288a1da8479d900fc.msdoc/?clientid=imassg&key=32545d22b2a6e612
138606,IE00B986J720,https://doc.morningstar.com/document/17043851267d62f43d166e53c2a3e440.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/9bb122c2e8f5ca9f23a7fca2a338130e.msdoc/?clientid=imassg&key=32545d22b2a6e612
138020,IE00B986J944,https://doc.morningstar.com/document/2ac672b8fa0b64d62647a27848879497.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/9bb122c2e8f5ca9f23a7fca2a338130e.msdoc/?clientid=imassg&key=32545d22b2a6e612
140894,IE00B99K3R14,https://doc.morningstar.com/document/8143d98f312795255b196b11c84465df.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/9bb122c2e8f5ca9f23a7fca2a338130e.msdoc/?clientid=imassg&key=32545d22b2a6e612
140895,IE00B9HH6X13,https://doc.morningstar.com/document/83a493c8d7ae5ef89452b76fc1f78b4d.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/2cfbaaf193f1f60288a1da8479d900fc.msdoc/?clientid=imassg&key=32545d22b2a6e612
138139,IE00BBT3JP45,https://doc.morningstar.com/document/0bb06c34ce3dfeb81fbca0fadcc4bb13.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/7add2bab2bb20d6b47cf9cef645d75a9.msdoc/?clientid=imassg&key=32545d22b2a6e612
140896,IE00BD8DFW88,https://doc.morningstar.com/document/585911c1c54bd17bb132959a1e38b91a.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/2cfbaaf193f1f60288a1da8479d900fc.msdoc/?clientid=imassg&key=32545d22b2a6e612
138710,IE00BDC3ND11,https://doc.morningstar.com/document/9050a724d2603e3f67b9f94f0adbce46.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/9bb122c2e8f5ca9f23a7fca2a338130e.msdoc/?clientid=imassg&key=32545d22b2a6e612
140897,IE00BDRTCH17,https://doc.morningstar.com/document/b3f526be2ffd0c703a850e19fee367af.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/ed3d9cca041f8d00d1efbcac56857649.msdoc/?clientid=imassg&key=32545d22b2a6e612
140898,IE00BDRTCL52,https://doc.morningstar.com/document/b3f526be2ffd0c703a850e19fee367af.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/ed3d9cca041f8d00d1efbcac56857649.msdoc/?clientid=imassg&key=32545d22b2a6e612
138592,IE00BDRTDD44,https://doc.morningstar.com/document/b3f526be2ffd0c703a850e19fee367af.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/ed3d9cca041f8d00d1efbcac56857649.msdoc/?clientid=imassg&key=32545d22b2a6e612
