G2078818,
G2056867,
G2065952,
G2076449,
G2058704,
G2065769,
G2056771,
G2058179,
G2069317,
G2058693,
G2078310,
G2078268,
G2076010,
G2073055,
G2067581,
G2064593,
G2068852,
G2067143,
G2065430,
G2069286,
G2082180,
G2058860,
G2062987,
G2074500,
G2066047,
G2081325,
G2061020,
G2071253,
G2081112,
G2070506,
G2071462,
G2081120,
G2079553,
G2062086,
G2079387,
G2064922,
G2056924,
G2076710,
G2071985,
G2060278,
G2062185,
G2074229,
G2060779,
G2065812,
G2082406,
G2056819,
G2071996,
G2071750,
G2062051,
G2060913,
