source_symbol,source_exchange
NOVN,NasdaqGS
PK,NYSE
CVNA,NYSE
GOOS,NYSE
APPN,NasdaqGS
ATUS,NYSE
JHG,NYSE
RDFN,NasdaqGS
BKR,NYSE
ROKU,NasdaqGS
VST,NYSE
IQV,NYSE
NTR,NYSE
APTV,NYSE
DBX,NasdaqGS
SPOT,NYSE
CDAY,NYSE
DOCU,NasdaqGS
INSP,NYSE
EQH,NYSE
BJ,NYSE
ARLO,NYSE
EVRG,NYSE
NXGN,NasdaqGS
GH,NasdaqGS
LTHM,NYSE
PLAN,NYSE
CCEP,NasdaqGS
ACA,NYSE
LIN,NYSE
MRNA,NasdaqGS
DELL,NYSE
CPRI,NYSE
NFE,NasdaqGS
LYFT,NasdaqGS
DOW,NYSE
BYND,NasdaqGS
UBER,NYSE
ZM,NasdaqGS
PINS,NYSE
AVTR,NYSE
TME,NYSE
CTVA,NYSE
AMCR,NYSE
CHWY,NYSE
IAA,NYSE
FOXA,NasdaqGS
VIAC,NasdaqGS
APA,NasdaqGS
CARR,NYSE
STZ,NYSE
HWM,NYSE
OTIS,NYSE
TT,NYSE
RTX,NYSE
TXG,NasdaqGS
PFC,NasdaqGS
PTON,NasdaqGS
NCNO,NasdaqGS
DKNG,NasdaqGS
FROG,NasdaqGS
RKT,NYSE
ACI,NYSE
AMWL,NYSE
SNOW,NYSE
GDRX,NasdaqGS
AZN,NasdaqGS
AEP,NasdaqGS
KDP,NasdaqGS
DASH,NYSE
VTRS,NasdaqGS
NKLA,NasdaqGS
WTRG,NYSE
LUMN,NYSE
MMP,NYSE
EPD,NYSE
HST,NasdaqGS
ABNB,NasdaqGS
OPEN,NasdaqGS
AI,NYSE
RBLX,NYSE
MP,NYSE
OTLY,NasdaqGS
COIN,NasdaqGS
FSR,NYSE
SNY,NasdaqGS
NWG,NYSE
ENBL,NYSE
NS,NYSE
PAA,NasdaqGS
AB,NYSE
LCID,NasdaqGS
SBNY,NasdaqGS
GOOG,NasdaqGS
MLKN,NasdaqGS
BHP,NYSE
AMOV,NYSE
WOLF,NasdaqGS
CLDR,NYSE
MNDT,NasdaqGS
LGF.B,NYSE
